cmpdname,isosmiles
1-(2-Methoxybenzyl)-4-(4-methylbenzyl)piperazine,CC1=CC=C(C=C1)CN2CCN(CC2)CC3=CC=CC=C3OC
1-(3-Methoxybenzyl)-4-(4-methylbenzyl)piperazine,CC1=CC=C(C=C1)CN2CCN(CC2)CC3=CC(=CC=C3)OC
"N-(2,4-Dimethylphenyl)-6-methoxy-2-oxo-2H-chromene-3-carboxamide",CC1=CC(=C(C=C1)NC(=O)C2=CC3=C(C=CC(=C3)OC)OC2=O)C
Quinolin-8-yl 3-chloro-4-methoxybenzoate,COC1=C(C=C(C=C1)C(=O)OC2=CC=CC3=C2N=CC=C3)Cl
"1-(2,5-Dimethylphenyl)-2-(4H-1,2,4-triazol-3-ylsulfanyl)ethanone",CC1=CC(=C(C=C1)C)C(=O)CSC2=NC=NN2
"1-(4-Methoxyphenyl)-2-(1H-1,2,4-triazol-5-ylsulfanyl)ethanone",COC1=CC=C(C=C1)C(=O)CSC2=NC=NN2
1-(3-Acetylphenyl)-3-(3-chlorophenyl)urea,CC(=O)C1=CC(=CC=C1)NC(=O)NC2=CC(=CC=C2)Cl
2-(Isopentylthio)-1H-benzo[d]imidazole,CC(C)CCSC1=NC2=CC=CC=C2N1
"4,5,6-Trimethyl-2-[(2-oxo-2-phenylethyl)sulfanyl]pyridine-3-carbonitrile",CC1=C(C(=C(N=C1C)SCC(=O)C2=CC=CC=C2)C#N)C
"N-(5-Methyl-2,1,3-benzothiadiazol-4-yl)-2,3-dihydro-1,4-benzodioxine-6-carboxamide",CC1=C(C2=NSN=C2C=C1)NC(=O)C3=CC4=C(C=C3)OCCO4
Ethyl 2-amino-5-[(2-fluorophenyl)carbamoyl]-4-methylthiophene-3-carboxylate,CCOC(=O)C1=C(SC(=C1C)C(=O)NC2=CC=CC=C2F)N
Ethyl 2-amino-5-[(3-methoxyphenyl)carbamoyl]-4-methylthiophene-3-carboxylate,CCOC(=O)C1=C(SC(=C1C)C(=O)NC2=CC(=CC=C2)OC)N
"2-(5,7-Dioxo-5,7-dihydro-6H-dibenzo[c,e]azepin-6-yl)ethyl propanoate",CCC(=O)OCCN1C(=O)C2=CC=CC=C2C3=CC=CC=C3C1=O
(3E)-5-(4-Chlorophenyl)-3-(4-methyl-3-nitrobenzylidene)furan-2(3H)-one,CC1=C(C=C(C=C1)/C=C/2\\C=C(OC2=O)C3=CC=C(C=C3)Cl)[N+](=O)[O-]
"1-(2,4-Dichlorophenyl)-3,6,6-trimethyl-1,5,6,7-tetrahydro-4H-indazol-4-one",CC1=NN(C2=C1C(=O)CC(C2)(C)C)C3=C(C=C(C=C3)Cl)Cl
"2,5-Bis(furan-2-yl)-[1,3]thiazolo[5,4-d][1,3]thiazole",C1=COC(=C1)C2=NC3=C(S2)N=C(S3)C4=CC=CO4
4-Fluoro-L-phenylalanine,C1=CC(=CC=C1C[C@@H](C(=O)O)N)F
"2-[4-(4-Nitrophenyl)-1,3-thiazol-2-yl]acetonitrile",C1=CC(=CC=C1C2=CSC(=N2)CC#N)[N+](=O)[O-]
1-(4-Methoxybenzoyl)-4-(methylsulfonyl)piperazine,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)S(=O)(=O)C
1-(2-Methoxybenzoyl)-4-(methylsulfonyl)piperazine,COC1=CC=CC=C1C(=O)N2CCN(CC2)S(=O)(=O)C
Biphenyl-4-yl[4-(methylsulfonyl)piperazin-1-yl]methanone,CS(=O)(=O)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=CC=CC=C3
1-(2-Fluorobenzoyl)-4-(methylsulfonyl)piperazine,CS(=O)(=O)N1CCN(CC1)C(=O)C2=CC=CC=C2F
1-[4-(Methylsulfonyl)piperazinyl]-2-phenylethan-1-one,CS(=O)(=O)N1CCN(CC1)C(=O)CC2=CC=CC=C2
1-(Methylsulfonyl)-4-(3-phenylpropyl)piperazine,CS(=O)(=O)N1CCN(CC1)CCCC2=CC=CC=C2
1-[(3-Methylphenyl)methyl]-4-(methylsulfonyl)piperazine,CC1=CC(=CC=C1)CN2CCN(CC2)S(=O)(=O)C
1-(2-Chlorobenzyl)-4-(methylsulfonyl)piperazine,CS(=O)(=O)N1CCN(CC1)CC2=CC=CC=C2Cl
1-(Phenylsulfonyl)-4-(2-pyridylmethyl)piperazine,C1CN(CCN1CC2=CC=CC=N2)S(=O)(=O)C3=CC=CC=C3
1-(4-Chlorobenzyl)-4-(methylsulfonyl)piperazine,CS(=O)(=O)N1CCN(CC1)CC2=CC=C(C=C2)Cl
2-(4-Acetyl-2-methoxyphenoxy)acetic acid,CC(=O)C1=CC(=C(C=C1)OCC(=O)O)OC
"N,N-Diethyl-2-(4-phenylphenoxy)acetamide",CCN(CC)C(=O)COC1=CC=C(C=C1)C2=CC=CC=C2
[(4-Methyl-6-oxo-6H-benzo[c]chromen-3-yl)oxy]acetic acid,CC1=C(C=CC2=C1OC(=O)C3=CC=CC=C23)OCC(=O)O
4-Methoxy-N-(2-methoxy-benzyl)-3-nitro-benzamide,COC1=C(C=C(C=C1)C(=O)NCC2=CC=CC=C2OC)[N+](=O)[O-]
2-(2-Nitrophenyl)-1-(4-phenylpiperazin-1-yl)ethanone,C1CN(CCN1C2=CC=CC=C2)C(=O)CC3=CC=CC=C3[N+](=O)[O-]
N-(3-Chloro-2-methylphenyl)-9H-xanthene-9-carboxamide,CC1=C(C=CC=C1Cl)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24
8-Ethyl-4-hydroxyquinoline-3-carboxylic acid ethyl ester,CCC1=C2C(=CC=C1)C(=O)C(=CN2)C(=O)OCC
"4-Hydroxyquinoline-3,8-dicarboxylic acid",C1=CC2=C(C(=C1)C(=O)O)NC=C(C2=O)C(=O)O
"1-(4-Methoxy-3-nitrobenzoyl)-5,6-dimethyl-1H-benzimidazole",CC1=CC2=C(C=C1C)N(C=N2)C(=O)C3=CC(=C(C=C3)OC)[N+](=O)[O-]
"(E)-N-Isopropyl-2,3-diphenylacrylamide",CC(C)NC(=O)/C(=C/C1=CC=CC=C1)/C2=CC=CC=C2
"(2E)-N-(2-Methoxyphenyl)-2,3-diphenylprop-2-enamide",COC1=CC=CC=C1NC(=O)/C(=C/C2=CC=CC=C2)/C3=CC=CC=C3
"(2E)-N-(3-Methoxyphenyl)-2,3-diphenylprop-2-enamide",COC1=CC=CC(=C1)NC(=O)/C(=C/C2=CC=CC=C2)/C3=CC=CC=C3
"(2E)-N-(4-Ethoxyphenyl)-2,3-diphenylprop-2-enamide",CCOC1=CC=C(C=C1)NC(=O)/C(=C/C2=CC=CC=C2)/C3=CC=CC=C3
"3-(3-Bromo-4-methoxyphenyl)-N,N-diisopropylacrylamide",CC(C)N(C(C)C)C(=O)/C=C/C1=CC(=C(C=C1)OC)Br
(E)-1-(Azepan-1-yl)-3-(3-bromo-4-methoxyphenyl)prop-2-en-1-one,COC1=C(C=C(C=C1)/C=C/C(=O)N2CCCCCC2)Br
"2-(2,6-Dimethylphenoxy)-N-phenylacetamide",CC1=C(C(=CC=C1)C)OCC(=O)NC2=CC=CC=C2
"N-Benzyl-2-(2,6-dimethylphenoxy)acetamide",CC1=C(C(=CC=C1)C)OCC(=O)NCC2=CC=CC=C2
2-[(4-Carbamoylphenyl)carbamoyl]benzoic acid,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)C(=O)N)C(=O)O
"3-[(4-Chlorobenzyl)Thio]-1H-1,2,4-Triazole",C1=CC(=CC=C1CSC2=NC=NN2)Cl
N-(Propan-2-yl)-2-(pyridin-3-yl)quinazolin-4-amine,CC(C)NC1=NC(=NC2=CC=CC=C21)C3=CN=CC=C3
1-Phenyl-3-(2-thiazolyl)-2-thiourea,C1=CC=C(C=C1)NC(=S)NC2=NC=CS2
(2E)-N-Benzyl-3-(4-ethoxy-3-methoxyphenyl)-N-methylprop-2-enamide,CCOC1=C(C=C(C=C1)/C=C/C(=O)N(C)CC2=CC=CC=C2)OC
4-(4-Methylphenyl)phenyl furan-2-carboxylate,CC1=CC=C(C=C1)C2=CC=C(C=C2)OC(=O)C3=CC=CO3
"3-{5-[(2-Bromo-4-methylphenoxy)methyl]-1,2,4-oxadiazol-3-yl}pyridine",CC1=CC(=C(C=C1)OCC2=NC(=NO2)C3=CN=CC=C3)Br
"4H-1-Benzopyran-4-one, 7-(acetyloxy)-3-(4-methoxyphenoxy)-",CC(=O)OC1=CC2=C(C=C1)C(=O)C(=CO2)OC3=CC=C(C=C3)OC
2-(4-Chlorophenoxy)-1-(4-(2-pyridyl)piperazinyl)ethan-1-one,C1CN(CCN1C2=CC=CC=N2)C(=O)COC3=CC=C(C=C3)Cl
5-Bromo-N-(4-ethylphenyl)nicotinamide,CCC1=CC=C(C=C1)NC(=O)C2=CC(=CN=C2)Br
5-Bromo-N-(2-ethoxyphenyl)pyridine-3-carboxamide,CCOC1=CC=CC=C1NC(=O)C2=CC(=CN=C2)Br
"5-Bromo-N-(2,4-dimethoxyphenyl)pyridine-3-carboxamide",COC1=CC(=C(C=C1)NC(=O)C2=CC(=CN=C2)Br)OC
Methyl 4-{[(5-bromopyridin-3-yl)carbonyl]amino}benzoate,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC(=CN=C2)Br
Methyl 2-{[(5-bromopyridin-3-yl)carbonyl]amino}benzoate,COC(=O)C1=CC=CC=C1NC(=O)C2=CC(=CN=C2)Br
5-Bromo-N-(2-carbamoylphenyl)pyridine-3-carboxamide,C1=CC=C(C(=C1)C(=O)N)NC(=O)C2=CC(=CN=C2)Br
n-(3-Methylphenyl)-2-nitrobenzamide,CC1=CC(=CC=C1)NC(=O)C2=CC=CC=C2[N+](=O)[O-]
5-Bromo-N-(5-chloro-2-methylphenyl)nicotinamide,CC1=C(C=C(C=C1)Cl)NC(=O)C2=CC(=CN=C2)Br
5-Bromo-N-[4-(diethylamino)phenyl]nicotinamide,CCN(CC)C1=CC=C(C=C1)NC(=O)C2=CC(=CN=C2)Br
N-(3-Acetylphenyl)-5-bromopyridine-3-carboxamide,CC(=O)C1=CC(=CC=C1)NC(=O)C2=CC(=CN=C2)Br
5-Bromo-N-mesitylnicotinamide,CC1=CC(=C(C(=C1)C)NC(=O)C2=CC(=CN=C2)Br)C
"N-(4H-1,2,4-Triazol-3-yl)-2-[4-(4-methylphenyl)phenoxy]acetamide",CC1=CC=C(C=C1)C2=CC=C(C=C2)OCC(=O)NC3=NC=NN3
"3-Chloro-4-(ethylanilino)-1-phenyl-1H-pyrrole-2,5-dione",CCN(C1=CC=CC=C1)C2=C(C(=O)N(C2=O)C3=CC=CC=C3)Cl
"3-(Benzylamino)-4-chloro-1-phenyl-1H-pyrrole-2,5-dione",C1=CC=C(C=C1)CNC2=C(C(=O)N(C2=O)C3=CC=CC=C3)Cl
"4,5-Dichloro-2-[(2-chlorophenyl)methyl]-2,3-dihydropyridazin-3-one",C1=CC=C(C(=C1)CN2C(=O)C(=C(C=N2)Cl)Cl)Cl
"3-Chloro-1-phenyl-4-[(2-phenylethyl)amino]-1H-pyrrole-2,5-dione",C1=CC=C(C=C1)CCNC2=C(C(=O)N(C2=O)C3=CC=CC=C3)Cl
"3-Chloro-4-(4-fluoroanilino)-1-phenyl-1H-pyrrole-2,5-dione",C1=CC=C(C=C1)N2C(=O)C(=C(C2=O)Cl)NC3=CC=C(C=C3)F
"3-Chloro-4-(4-ethoxyanilino)-1-phenylpyrrole-2,5-dione",CCOC1=CC=C(C=C1)NC2=C(C(=O)N(C2=O)C3=CC=CC=C3)Cl
"3-Chloro-4-(4-ethylanilino)-1-(4-methylphenyl)-1H-pyrrole-2,5-dione",CCC1=CC=C(C=C1)NC2=C(C(=O)N(C2=O)C3=CC=C(C=C3)C)Cl
"3-Chloro-1-(4-methylphenyl)-4-(4-methylpiperazinyl)azoline-2,5-dione",CC1=CC=C(C=C1)N2C(=O)C(=C(C2=O)Cl)N3CCN(CC3)C
"3-Chloro-4-(4-fluoroanilino)-1-(4-methoxyphenyl)-1H-pyrrole-2,5-dione",COC1=CC=C(C=C1)N2C(=O)C(=C(C2=O)Cl)NC3=CC=C(C=C3)F
"3-(Benzylamino)-4-chloro-1-(4-methoxyphenyl)-1H-pyrrole-2,5-dione",COC1=CC=C(C=C1)N2C(=O)C(=C(C2=O)Cl)NCC3=CC=CC=C3
"2-[2-(3,4-Dihydroxyphenyl)-2-oxoethyl]sulfanyl-4,6-dimethylpyridine-3-carbonitrile",CC1=CC(=NC(=C1C#N)SCC(=O)C2=CC(=C(C=C2)O)O)C
"1-Benzyl-3-chloro-4-(3,4-dimethylanilino)-1H-pyrrole-2,5-dione",CC1=C(C=C(C=C1)NC2=C(C(=O)N(C2=O)CC3=CC=CC=C3)Cl)C
"N-(5-Methyl-1,3,4-thiadiazol-2-yl)-4-phenoxybenzamide",CC1=NN=C(S1)NC(=O)C2=CC=C(C=C2)OC3=CC=CC=C3
"3-(4-Ethoxy-benzylsulfanyl)-4H-[1,2,4]triazole",CCOC1=CC=C(C=C1)CSC2=NC=NN2
8-Acetyl-4-methyl-2-oxo-2H-chromen-7-yl furan-2-carboxylate,CC1=CC(=O)OC2=C1C=CC(=C2C(=O)C)OC(=O)C3=CC=CO3
"3-[2-(2,3-Dimethylphenoxy)acetylamino]benzoic acid",CC1=C(C(=CC=C1)OCC(=O)NC2=CC=CC(=C2)C(=O)O)C
"Dimethyl 2,6-dimethylfuro[2,3-f][1]benzofuran-3,7-dicarboxylate",CC1=C(C2=CC3=C(C=C2O1)C(=C(O3)C)C(=O)OC)C(=O)OC
4-Chloro-2-methylphenyl (2E)-3-(3-nitrophenyl)prop-2-enoate,CC1=C(C=CC(=C1)Cl)OC(=O)/C=C/C2=CC(=CC=C2)[N+](=O)[O-]
"4-Chloro-2-methylphenyl 3-(1,3-dioxoisoindolin-2-yl)propanoate",CC1=C(C=CC(=C1)Cl)OC(=O)CCN2C(=O)C3=CC=CC=C3C2=O
"2-(4-Chloro-2-methylphenoxy)-N-(4H-1,2,4-triazol-3-yl)acetamide",CC1=C(C=CC(=C1)Cl)OCC(=O)NC2=NC=NN2
(2E)-2-Cyano-3-(4-hydroxy-3-methoxyphenyl)prop-2-enamide,COC1=C(C=CC(=C1)/C=C(\\C#N)/C(=O)N)O
3-(2-Bromophenoxy)-7-methoxy-4H-chromen-4-one,COC1=CC2=C(C=C1)C(=O)C(=CO2)OC3=CC=CC=C3Br
"4-Benzoxazol-2-yl-2,6-dichlorophenylamine",C1=CC=C2C(=C1)N=C(O2)C3=CC(=C(C(=C3)Cl)N)Cl
[5-(3-Nitrophenyl)furan-2-yl]methanol,C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC=C(O2)CO
N-(2-Chlorophenyl)-6-methylquinazolin-4-amine,CC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3Cl
N-(2-Methoxyphenyl)-6-methylquinazolin-4-amine,CC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3OC
N-(4-Methoxyphenyl)-6-methylquinazolin-4-amine,CC1=CC2=C(C=C1)N=CN=C2NC3=CC=C(C=C3)OC
1-Acetyl-3-[(6-methylquinazolin-4-yl)amino]benzene,CC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC(=C3)C(=O)C
Ethyl 3-[(6-methylquinazolin-4-yl)amino]benzoate,CCOC(=O)C1=CC(=CC=C1)NC2=NC=NC3=C2C=C(C=C3)C
3-Benzothiazol-2-yl-4-chloro-phenylamine,C1=CC=C2C(=C1)N=C(S2)C3=C(C=CC(=C3)N)Cl
"2-(4-Chlorophenyl)-2H-1,2,3-benzotriazol-5-amine",C1=CC(=CC=C1N2N=C3C=CC(=CC3=N2)N)Cl
N-(3-Aminophenyl)-2-furamide,C1=CC(=CC(=C1)NC(=O)C2=CC=CO2)N
N-(3-Aminophenyl)-2-methylbenzamide,CC1=CC=CC=C1C(=O)NC2=CC=CC(=C2)N
Ethyl 2-{[(4-chlorophenyl)sulfonyl]amino}benzoate,CCOC(=O)C1=CC=CC=C1NS(=O)(=O)C2=CC=C(C=C2)Cl
Ethyl 4-(2-chlorobenzamido)benzoate,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2Cl
3-(5-Methyl-furan-2-yl)-N-quinolin-8-yl-acrylamide,CC1=CC=C(O1)/C=C/C(=O)NC2=CC=CC3=C2N=CC=C3
Ethyl 6-ethoxy-4-hydroxyquinoline-3-carboxylate,CCOC1=CC2=C(C=C1)NC=C(C2=O)C(=O)OCC
4-Methylphenyl 4-benzylpiperazinyl ketone,CC1=CC=C(C=C1)C(=O)N2CCN(CC2)CC3=CC=CC=C3
7-Methoxy-3-(2-methoxyphenyl)-4H-chromen-4-one,COC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3OC
1-{2-Nitrobenzoyl}-4-methylpiperidine,CC1CCN(CC1)C(=O)C2=CC=CC=C2[N+](=O)[O-]
2-Oxo-4-phenyl-2H-chromen-7-yl furan-2-carboxylate,C1=CC=C(C=C1)C2=CC(=O)OC3=C2C=CC(=C3)OC(=O)C4=CC=CO4
N-(4-Ethoxyphenyl)-2-phenoxyacetamide,CCOC1=CC=C(C=C1)NC(=O)COC2=CC=CC=C2
N-Benzyl-N-(3-nitrophenyl)-2-furamide,C1=CC=C(C=C1)CN(C2=CC(=CC=C2)[N+](=O)[O-])C(=O)C3=CC=CO3
Methyl 3-[[2-(4-chlorophenoxy)acetyl]amino]benzoate,COC(=O)C1=CC(=CC=C1)NC(=O)COC2=CC=C(C=C2)Cl
"Nicotinic acid (5-bromo-2-oxo-1,2-dihydro-indol-3-ylidene)-hydrazide",C1=CC(=CN=C1)C(=O)N=NC2=C(NC3=C2C=C(C=C3)Br)O
2-(4-Methoxyphenoxy)-N-[2-(4-methoxyphenyl)ethyl]acetamide,COC1=CC=C(C=C1)CCNC(=O)COC2=CC=C(C=C2)OC
"N-Tert-Butyl-3-(1,3-dioxo-1,3-dihydro-isoindol-2-yl)-propionamide",CC(C)(C)NC(=O)CCN1C(=O)C2=CC=CC=C2C1=O
"5-Acetyl-5,10-dihydrophenazine",CC(=O)N1C2=CC=CC=C2NC3=CC=CC=C31
4-[(4-Methoxybenzoyl)amino]benzoic acid,COC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)O
7-Methyl-4-(4-nitrophenyl)quinolin-2(1H)-one,CC1=CC2=C(C=C1)C(=CC(=O)N2)C3=CC=C(C=C3)[N+](=O)[O-]
Methyl 4-(4-benzoylanilino)-4-oxobutanoate,COC(=O)CCC(=O)NC1=CC=C(C=C1)C(=O)C2=CC=CC=C2
Methyl 4-(3-bromo-4-methylanilino)-4-oxobutanoate,CC1=C(C=C(C=C1)NC(=O)CCC(=O)OC)Br
"2-(2-Nitrophenyl)-1,3-diphenylimidazolidine",C1CN(C(N1C2=CC=CC=C2)C3=CC=CC=C3[N+](=O)[O-])C4=CC=CC=C4
"(2H,3H-Benzo[3,4-e]1,4-dioxin-6-ylsulfonyl)(4-methylphenyl)amine",CC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)OCCO3
4-(4-Fluorophenyl)phthalazin-1(2H)-one,C1=CC=C2C(=C1)C(=NNC2=O)C3=CC=C(C=C3)F
2-Chloro-N-ethyl-N-phenylbenzamide,CCN(C1=CC=CC=C1)C(=O)C2=CC=CC=C2Cl
3-Chloro-N-phenylbenzamide,C1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)Cl
"2-Methyl-3-(1H-pyrrol-1-yl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",CC1=NC2=C(C3=C(S2)CCCC3)C(=O)N1N4C=CC=C4
"N-(3,4-Dimethoxyphenyl)-3-phenoxybenzamide",COC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)OC3=CC=CC=C3)OC
"N-(6-Bromo-1,3-benzothiazol-2-yl)-3-methylbenzamide",CC1=CC(=CC=C1)C(=O)NC2=NC3=C(S2)C=C(C=C3)Br
2-Cyano-3-morpholinoacrylic acid ethyl ester,CCOC(=O)/C(=C/N1CCOCC1)/C#N
7-Methoxy-4-phenyl-quinolin-2-ol,COC1=CC2=C(C=C1)C(=CC(=O)N2)C3=CC=CC=C3
"2-Amino-N-(4-methoxyphenyl)-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide",COC1=CC=C(C=C1)NC(=O)C2=C(SC3=C2CCCC3)N
2-(2-Fluoro-phenyl)-3-(4-methoxy-phenyl)-3H-quinazolin-4-one,COC1=CC=C(C=C1)N2C(=NC3=CC=CC=C3C2=O)C4=CC=CC=C4F
3-Amino-2-(furan-2-yl)quinazolin-4(3H)-one,C1=CC=C2C(=C1)C(=O)N(C(=N2)C3=CC=CO3)N
"2-Pyridin-3-yl-3,1-benzoxazin-4-one",C1=CC=C2C(=C1)C(=O)OC(=N2)C3=CN=CC=C3
N-[2-(Pyridin-2-ylcarbamoyl)phenyl]furan-2-carboxamide,C1=CC=C(C(=C1)C(=O)NC2=CC=CC=N2)NC(=O)C3=CC=CO3
N-[2-[(4-Methylphenyl)carbamoyl]phenyl]thiophene-2-carboxamide,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=CS3
N-{2-[(4-Methoxyanilino)carbonyl]phenyl}nicotinamide,COC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CN=CC=C3
N-[2-(4-Morpholinylcarbonyl)phenyl]-2-furamide,C1COCCN1C(=O)C2=CC=CC=C2NC(=O)C3=CC=CO3
N-[2-(Dipropylcarbamoyl)phenyl]thiophene-2-carboxamide,CCCN(CCC)C(=O)C1=CC=CC=C1NC(=O)C2=CC=CS2
"2,3-Dichloro-N-pyridin-3-ylbenzamide",C1=CC(=C(C(=C1)Cl)Cl)C(=O)NC2=CN=CC=C2
1-(3-Fluoro-4-morpholin-4-ylphenyl)butan-1-one,CCCC(=O)C1=CC(=C(C=C1)N2CCOCC2)F
4-Fluorophenyl 4-(4-methylpiperazinyl)phenyl ketone,CN1CCN(CC1)C2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)F
N-(3-Bromophenyl)-2-(3-methylphenoxy)acetamide,CC1=CC(=CC=C1)OCC(=O)NC2=CC(=CC=C2)Br
(2E)-N-(3-Bromophenyl)-3-(2-chlorophenyl)prop-2-enamide,C1=CC=C(C(=C1)/C=C/C(=O)NC2=CC(=CC=C2)Br)Cl
"1-(3,4-Difluoro-phenyl)-2-[1,2,4]triazol-1-yl-ethanone",C1=CC(=C(C=C1C(=O)CN2C=NC=N2)F)F
n-[(2-Bromo-4-methylphenyl)carbamothioyl]-2-furamide,CC1=CC(=C(C=C1)NC(=S)NC(=O)C2=CC=CO2)Br
"2-Thiophenecarboxamide, N-[2-[(4-methyl-1-piperazinyl)carbonyl]phenyl]-",CN1CCN(CC1)C(=O)C2=CC=CC=C2NC(=O)C3=CC=CS3
N-[2-(Dipropylcarbamoyl)phenyl]pyridine-3-carboxamide,CCCN(CCC)C(=O)C1=CC=CC=C1NC(=O)C2=CN=CC=C2
N-[2-(Morpholine-4-carbonyl)phenyl]pyridine-3-carboxamide,C1COCCN1C(=O)C2=CC=CC=C2NC(=O)C3=CN=CC=C3
N-{2-[(4-Methyl-1-piperazinyl)carbonyl]phenyl}nicotinamide,CN1CCN(CC1)C(=O)C2=CC=CC=C2NC(=O)C3=CN=CC=C3
"2-[(2-Chlorobenzoyl)amino]-N,N-dimethylbenzamide",CN(C)C(=O)C1=CC=CC=C1NC(=O)C2=CC=CC=C2Cl
"N,N-Diethyl-2-{[(2-fluorophenyl)carbonyl]amino}benzamide",CCN(CC)C(=O)C1=CC=CC=C1NC(=O)C2=CC=CC=C2F
"N-(2,5-Dimethylphenyl)-2-oxo-2H-chromene-3-carboxamide",CC1=CC(=C(C=C1)C)NC(=O)C2=CC3=CC=CC=C3OC2=O
"2,2-Dimethyl-N-[2-(N-phenylcarbamoyl)phenyl]propanamide",CC(C)(C)C(=O)NC1=CC=CC=C1C(=O)NC2=CC=CC=C2
2-(Benzoylamino)-N-cyclohexylbenzamide,C1CCC(CC1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=CC=C3
1-(4-Chlorophenyl)-2-[(1-methyl-1H-imidazol-2-yl)sulfanyl]ethanone,CN1C=CN=C1SCC(=O)C2=CC=C(C=C2)Cl
"3,6-Dibenzyl-1,4-dihydro-1,2,4,5-tetrazine",C1=CC=C(C=C1)CC2=NNC(=NN2)CC3=CC=CC=C3
2-(4-Chloro-3-methylphenoxy)-N-(5-chloro-2-methylphenyl)acetamide,CC1=C(C=C(C=C1)Cl)NC(=O)COC2=CC(=C(C=C2)Cl)C
N-(3-Acetylphenyl)-2-(2-tert-butylphenoxy)acetamide,CC(=O)C1=CC(=CC=C1)NC(=O)COC2=CC=CC=C2C(C)(C)C
"(E)-N-(3-Chloro-4-methylphenyl)-3-(2,5-dimethoxyphenyl)acrylamide",CC1=C(C=C(C=C1)NC(=O)/C=C/C2=C(C=CC(=C2)OC)OC)Cl
"Methyl 4-(2,4-dimethylanilino)-4-oxobutanoate",CC1=CC(=C(C=C1)NC(=O)CCC(=O)OC)C
4-[4-(Acetylamino)anilino]-4-oxobutanoic acid,CC(=O)NC1=CC=C(C=C1)NC(=O)CCC(=O)O
(2E)-2-Cyano-N-(4-fluorophenyl)-3-(5-phenylfuran-2-yl)prop-2-enamide,C1=CC=C(C=C1)C2=CC=C(O2)/C=C(\\C#N)/C(=O)NC3=CC=C(C=C3)F
3-[5-(2-Chlorophenyl)-2-furyl]acrylic acid,C1=CC=C(C(=C1)C2=CC=C(O2)/C=C/C(=O)O)Cl
N-[4-(Difluoromethoxy)phenyl]thiophene-2-sulfonamide,C1=CSC(=C1)S(=O)(=O)NC2=CC=C(C=C2)OC(F)F
4-Tert-butyl-N-(2-pyridinyl)benzenesulfonamide,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=N2
Methyl 2-(4-acetamidobenzenesulfonamido)benzoate,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)OC
"N,N-Diethyl-2-oxo-1,2-dihydrobenzo[cd]indole-6-sulfonamide",CCN(CC)S(=O)(=O)C1=C2C=CC=C3C2=C(C=C1)NC3=O
"1-Ethyl-N,N-dimethyl-2-oxo-1,2-dihydrobenzo[cd]indole-6-sulfonamide",CCN1C2=C3C(=C(C=C2)S(=O)(=O)N(C)C)C=CC=C3C1=O
N-(4-(Diethylamino)phenyl)-4-methyl-3-nitrobenzamide,CCN(CC)C1=CC=C(C=C1)NC(=O)C2=CC(=C(C=C2)C)[N+](=O)[O-]
N-(4-Methoxynaphthalen-1-yl)-3-(trifluoromethyl)benzamide,COC1=CC=C(C2=CC=CC=C21)NC(=O)C3=CC(=CC=C3)C(F)(F)F
"3-Methyl-1-[(3-methylphenyl)amino]pyrido[1,2-a]benzimidazole-4-carbonitrile",CC1=CC(=CC=C1)NC2=CC(=C(C3=NC4=CC=CC=C4N23)C#N)C
"1-[(2,5-Dimethylphenyl)amino]-3-methylpyrido[1,2-a]benzimidazole-4-carbonitrile",CC1=CC(=C(C=C1)C)NC2=CC(=C(C3=NC4=CC=CC=C4N23)C#N)C
"11-(4-Morpholinyl)-2,3-dihydro-1H-cyclopenta[4,5]pyrido[1,2-a]benzimidazole-4-carbonitrile",C1CC2=C(C3=NC4=CC=CC=C4N3C(=C2C1)N5CCOCC5)C#N
"2-Ethyl-3-methyl-1-(4-methylpiperazin-1-yl)pyrido[1,2-a]benzimidazole-4-carbonitrile",CCC1=C(N2C3=CC=CC=C3N=C2C(=C1C)C#N)N4CCN(CC4)C
